sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness
97,depunned,32,a,Britain is a wet place since the autumn has had a long #reign.,reign,rain,0.291173511
98,depunned,33,a,Tomato gardeners who work extra get #thyme and a half.,thyme,time,1.268895866
99,depunned,34,a,If you say you have bad teeth I would say that was a #pore excuse.,pore,poor,0.039611812
100,depunned,35,a,People who like purple paint have a #gilt complex.,gilt,guilt,-0.21847319
101,depunned,36,a,To #heir is careless.,heir,err,-0.183402836
102,depunned,37,a,When their parrot was little they only got rest after #son down.,son,sun,-0.161363265
103,depunned,38,a,Novice choristers make terrible singers because they cannot hit the high #C's.,c's,seas,-0.252778748
104,depunned,39,a,An optometrist is a bright spark who knows what's #watt.,watt,what,0.21787527
105,depunned,40,a,When the mayor wanted to balance the budget he turned to a fund #razor.,razor,raiser,0.903298846
106,nonpun,1,a,Daniel is a biblical #prophet known for interpreting dreams.,prophet,profit,-0.616442572
107,nonpun,2,a,He can recite the number #pi up to ten decimal places.,pi,pie,-0.701418837
108,nonpun,3,a,Bakers #knead flour and milk together to make bread dough.,knead,need,-0.463161833
109,nonpun,4,a,The fisherman dipped the #oar in the river.,oar,or,-0.453091203
110,nonpun,5,a,Boxes are stacked in #tiers in the warehouse.,tiers,tears,-0.559532321
111,nonpun,6,a,Pollsters conducted a #poll on the popularity of the political candidates.,poll,pole,-0.478534317
112,nonpun,7,a,The old man is alone all the time and is #bored to tears.,bored,board,-0.499406276
113,nonpun,8,a,#Greece is a country in the the southern portion of Europe.,greece,grease,-0.549920934
114,nonpun,9,a,In mathematics the #sine function is a function of an angle.,sine,sign,-0.783115617
115,nonpun,10,a,Ms. Wu is the #principal of our local high school.,principal,principle,-0.538246309
116,nonpun,11,a,I bought a new #CD today in classical music.,cd,seedy,-0.448309592
117,nonpun,12,a,The #hare ran rapidly through the fields.,hare,hair,-0.400439814
118,nonpun,13,a,That cabin is made of #knotty pine.,knotty,naughty,-0.186042386
119,nonpun,14,a,The clothesline hangs #taut between two poles.,taut,taught,-0.566173862
120,nonpun,15,a,Karl #Marx was a german philosopher.,marx,marks,-0.686663976
121,nonpun,16,a,He waved at me to say #hi.,hi,high,-0.493961971
122,nonpun,17,a,She was in a #daze after learning the bad news.,daze,days,-0.548913063
123,nonpun,18,a,Novels and essays are written in #prose.,prose,pros,-0.419635971
124,nonpun,19,a,Our #plane landed at the airport.,plane,plain,-0.627515394
125,nonpun,20,a,That beaver is building a #dam with logs and sticks.,dam,damn,-0.400439814
126,nonpun,21,a,This computer has a processing speed of thirty-three mega #hertz.,hertz,hurts,-0.4801975
127,nonpun,22,a,She plays the leading #role in a television show.,role,roll,-0.568697608
128,nonpun,23,a,He puts a #collar on his dog before walking it.,collar,caller,-0.624425163
129,nonpun,24,a,The little boy wanted to #steal his friend's candy but decided not to.,steal,steel,-0.05194632
130,nonpun,25,a,Some people do not like to #dye their hair.,dye,die,-0.597783895
131,nonpun,26,a,She must have a small #waist; look how tiny her belt is!,waist,waste,-0.284472946
132,nonpun,27,a,These new shoes are hurting my #feet.,feet,feat,-0.627515394
133,nonpun,28,a,The student read her poem #aloud in class.,aloud,allowed,-0.535863964
134,nonpun,29,a,A worker filled a #pail with water to clean the floor.,pail,pale,-0.52197268
135,nonpun,30,a,Those wealthy people live in a huge #manor.,manor,manner,-0.239700056
136,nonpun,31,a,#Cached copies of the web pages are stored in the database.,cache,cash,-0.624425163
137,nonpun,32,a,The king's #reign ended and his heir took over.,reign,rain,-0.549920934
138,nonpun,33,a,One of my favorite meals is chicken in a creamy sauce flavored with #thyme.,thyme,time,-0.619153218
139,nonpun,34,a,A #pore is a very small opening on the surface of your skin.,pore,poor,-0.439063741
140,nonpun,35,a,She covered the frame with #gilt.,gilt,guilt,0.02380242
141,nonpun,36,a,Prince William is #heir to the british throne.,heir,err,-0.406641634
142,nonpun,37,a,They have a #son and a daughter.,son,sun,-0.601307501
143,nonpun,38,a,It is hard even for a soprano to sing the high #C's.,c's,seas,-0.277035692
144,nonpun,39,a,My desk lamp uses a sixty #watt light bulb.,watt,what,-0.489417904
145,nonpun,40,a,He used a #razor to shave his beard.,razor,raiser,-0.549920934
146,nonpun,41,a,It's easy to tie a double #knot.,knot,not,-0.470142255
147,nonpun,42,a,We get our #wood from trees.,wood,would,-0.326085081
148,nonpun,43,a,A #grader was hired to score all of the tests.,grader,grater,-0.616442572
149,nonpun,44,a,I was poked in the #eye.,eye,i,-0.345549609
150,nonpun,45,a,We learned about how a #cell works in biology.,cell,sell,-0.537912493
151,nonpun,46,a,That #scent is unpleasant.,scent,cent,-0.416754042
152,nonpun,47,a,I took a #course in school.,course,coarse,-0.4801975
153,nonpun,48,a,There are #deer in the forest.,deer,dear,-0.680097469
154,nonpun,49,a,He tried to steal honey but was stung by an angry #bee.,bee,be,0.227042762
155,nonpun,50,a,Cars should #brake slowly.,brake,break,-0.549920934
156,nonpun,51,a,We use different kinds of #flours in baking.,flour,flower,-0.751501589
157,nonpun,52,a,The #fare had to be paid.,fare,fair,-0.656157197
158,nonpun,53,a,His #heel was bruised from walking too much.,heel,heal,-0.627515394
159,nonpun,54,a,We sang a #hymn in church.,hymn,him,-0.566763693
160,nonpun,55,a,I answered with a string of #no's.,no's,knows,-0.366838698
161,nonpun,56,a,We stayed at an #inn.,inn,in,-0.724466457
162,nonpun,57,a,That famous movie star is my #idol.,idol,idle,-0.558676472
163,nonpun,58,a,I hired a #maid to clean.,maid,made,-0.425598017
164,nonpun,59,a,The #nun was very pious and kind.,nun,none,-0.613731926
165,nonpun,60,a,We were in #mourning after our loved one died.,mourning,morning,-0.565341044
166,nonpun,61,a,Vegetarians don't like #meat.,meat,meet,-0.459630503
167,nonpun,62,a,You need to #reel in the fish.,reel,real,-0.356100683
168,nonpun,63,a,She ate a #pear and two apples.,pear,pair,-0.52197268
169,nonpun,64,a,It is customary for Christians to #pray before bed.,pray,prey,-0.680097469
170,nonpun,65,a,He tripped over a tree's #root.,root,route,0.248859652
171,nonpun,1,b,That business made one million dollars in #profit last year.,profit,prophet,-0.63337994
172,nonpun,2,b,Would you like some apple #pie for dessert?,pie,pi,-0.627515394
173,nonpun,3,b,The company has a #need for computer programmers.,need,knead,-0.598788105
174,nonpun,4,b,Take care of your car #or else you will have problems.,or,oar,-0.559532321
175,nonpun,5,b,#Tears ran down her cheeks as she watched a sad movie.,tears,tiers,-0.568697608
176,nonpun,6,b,She raised a flag up the #pole. ,pole,poll,-0.321161094
177,nonpun,7,b,He has a meeting with the company's #board of directors.,board,bored,-0.549920934
178,nonpun,8,b,There was too much #grease on the plate.,grease,greece,-0.488917613
179,nonpun,9,b,The #sign on our store says the clothes boutique.,sign,sine,-0.515691038
180,nonpun,10,b,I believe in the #principle of physics.,principle,principal,-0.537912493
181,nonpun,11,b,The #seedy bar was full of drunken and unwashed people.,seedy,cd,0.275131224
182,nonpun,12,b,Most people have lots of #hair on their heads.,hair,hare,-0.342560376
183,nonpun,13,b,That boy is a #naughty child.,naughty,knotty,-0.476507921
184,nonpun,14,b,She #taught mathematics to college students.,taught,taut,-0.181733713
185,nonpun,15,b,She got high #marks in high school.,marks,marx,-0.382044045
186,nonpun,16,b,The statue is ten feet #high.,high,hi,-0.754212236
187,nonpun,17,b,There are seven #days in a week.,days,daze,-0.701418837
188,nonpun,18,b,What are the #pros and cons of social networking sites?,pros,prose,-0.537912493
189,nonpun,19,b,She felt #plain next to her beautiful sister.,plain,plane,-0.417965881
190,nonpun,20,b,I do not give a #damn what you say.,damn,dam,-0.383947317
191,nonpun,21,b,I fell and now my leg #hurts.,hurts,hertz,-0.611155033
192,nonpun,22,b,She bought a #roll of silk to make a dress.,roll,role,-0.574167486
193,nonpun,23,b,The #caller on the phone is from your bank.,caller,collar,-0.549920934
194,nonpun,24,b,That ship is made of wood and #steel.,steel,steal,-0.816320452
195,nonpun,25,b,He is very scared that he will #die of a heart attack. ,die,dye,-0.701418837
196,nonpun,26,b,Dealing with him is a #waste of time.,waste,waist,-0.478259045
197,nonpun,27,b,Passing that exam without studying was a real #feat!,feat,feet,-0.279133275
198,nonpun,28,b,We #allowed our son to use the family car.,allowed,aloud,-0.683086216
199,nonpun,29,b,She looks #pale and sick.,pale,pail,-0.724466457
200,nonpun,30,b,There was all #manner of food at the party.,manner,manor,-0.508418795
201,nonpun,31,b,She bought stocks for ten years and then #cashed in her chips.,cash,cache,-0.316755813
202,nonpun,32,b,#Rain fell on the city last night.,rain,reign,-0.481383555
203,nonpun,33,b,We have #time to have lunch before the meeting.,time,thyme,-0.529309294
204,nonpun,34,b,That family is so #poor they cannot afford to buy food.,poor,pore,-0.537912493
205,nonpun,35,b,A jury decides the #guilt or innocence of an accused person.,guilt,gilt,-0.598788105
206,nonpun,36,b,It is better to #err on the side of being too safe.,err,heir,-0.43842232
207,nonpun,37,b,The #sun rises every morning and sets every evening.,sun,son,-0.724466457
208,nonpun,38,b,The ship is in the mid-atlantic on the high #seas.,seas,c's,-0.430688967
209,nonpun,39,b,The teacher told the students #what to do.,what,watt,-0.549920934
210,nonpun,40,b,That girl organized a fund #raiser at her local church.,raiser,razor,-0.619153218
211,nonpun,41,b,Let's do this at but #not that.,not,knot,-0.549920934
212,nonpun,42,b,Her father #would not let her go to the party.,would,wood,-0.751501589
213,nonpun,43,b,The cheese #grater slices the cheese.,grater,grader,-0.537709317
214,nonpun,44,b,#I don't know the answer.,i,eye,-0.537912493
215,nonpun,45,b,I must #sell my car for a good price.,sell,cell,-0.531638371
216,nonpun,46,b,He is so stingy that he would not even let me borrow a #cent.,cent,scent,-0.52197268
217,nonpun,47,b,You have very #coarse hair.,coarse,course,-0.610624523
218,nonpun,48,b,You're such a #dear friend.,dear,deer,-0.442670104
219,nonpun,49,b,I will #be okay; don't worry.,be,bee,-0.440726864
220,nonpun,50,b,#Break a leg on your performance.,break,brake,-0.088060548
221,nonpun,51,b,I picked some pretty #flowers that were growing among weeds.,flower,flour,-0.240292798
222,nonpun,52,b,The rules of this game are not #fair.,fair,fare,-0.537912493
223,nonpun,53,b,It just takes time for wounds to #heal.,heal,heel,-0.536651619
224,nonpun,54,b,John likes Sarah but she doesn't like #him back.,him,hymn,-0.766636577
225,nonpun,55,b,He #knows almost every word in the dictionary.,knows,no's,-0.637640044
226,nonpun,56,b,Come #in the room and close the door.,in,inn,-0.620915285
227,nonpun,57,b,You're just sitting there doing nothing; don't be #idle.,idle,idol,-0.328808938
228,nonpun,58,b,You #made that cake all by yourself?,made,maid,-0.819031098
229,nonpun,59,b,#None of it made any sense.,none,nun,-0.45866472
230,nonpun,60,b,I woke up in the #morning and the sun was shining.,morning,mourning,-0.537912493
231,nonpun,61,b,The two pen pals were finally able to #meet.,meet,meat,-0.598788105
232,nonpun,62,b,That diamond is not #real; it is just a very good counterfeit. ,real,reel,-0.475063397
233,nonpun,63,b,I have a #pair of matching socks.,pair,pear,-0.686697483
234,nonpun,64,b,That mouse could easily be the eagle's #prey.,prey,pray,-0.499406276
235,nonpun,65,b,Take the faster #route on your way home.,route,root,-0.440726864
