sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness
36,pun,36,a,"Just in time for Thanksgiving: a blockbuster movie about sweet potatoes, called 'The Silence of the Yams'.",yams,Lambs,1.360715486
37,pun,37,a,"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been Tolkien in my sleep.",tolkien,talking,1.60390418
38,pun,38,a,Many people are strongly attracted to a magnate.,magnate,magnet,0.710418481
39,pun,39,a,Many people think that Edgar Allan Poe was a raven madman.,raven,raving,1.315302849
40,pun,40,a,"My battery had an alkaline problem, so it went to AA meetings.",alkaline,alcohol,1.927418084
41,pun,41,a,My boss does not tolerate any beards or mustaches. He is a real shave driver.,shave,slave,1.527897984
42,pun,42,a,My heart starts Aiken when Clay sings.,aiken,aching,1.064487831
43,pun,43,a,My neighbor's sprinkler is a constant irrigation to me.,irrigation,irritation,1.308473522
44,pun,44,a,My two uncles bet who would get married first. Then one upped the auntie.,auntie,ante,1.206555338
45,pun,45,a,New years resolution for the bankrupt gardener was to forget the past and rely on the fuchsia.,fuchsia,future,1.475209288
46,pun,46,a,On organic farms they till it like it is.,till,tell,0.777286691
47,pun,47,a,"One real estate agent said to another, House it going?",house,how's,1.541837622
48,pun,48,a,People have a happy time vacationing in Ireland because they are walking on Eire.,eire,fire,0.857645622
49,pun,49,a,People in Switzerland can't learn to ski without a lot of Alp.,alp,help,1.317687287
50,pun,50,a,Scarecrows are always garden their patch.,garden,guarding,1.210348484
51,pun,51,a,Selling coffee has its perks for those who have bean so lucky.,bean,been,0.480044239
52,pun,52,a,"Sign on a broken perfume bottle, Out of odor.",odor,order,1.858620781
53,pun,53,a,Sign: 'Please turn out the lights. Thanks a watt.',watt,lot,1.786203099
54,pun,54,a,Some children are often on their pest behavior.,pest,best,1.481582201
55,pun,55,a,Some people have to get up for work at the crank of dawn.,crank,crack,0.06015096
56,pun,56,a,Some planes are so cramped that passengers suffer jet leg.,leg,lag,0.783376648
57,pun,57,a,Ten years without brushing causes horrible tooth decade.,decade,decay,0.682335121
58,pun,58,a,The actor was never quite right after he retired. He had Post Dramatic Stress Disorder.,dramatic,traumatic,1.880723344
59,pun,59,a,The English Teacher felt odd after being fired: it was post grammatic stress disorder.,grammatic,traumatic,1.70908321
60,pun,60,a,The garden club visited the nursery and found themselves in a hosta environment.,hosta,hostile,1.050240473
61,pun,61,a,The Irish should be rich because their capital is always Dublin.,dublin,doubling,1.902817654
62,pun,62,a,The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism.,prism,prison,1.275526697
63,pun,63,a,The plumber explained that the problem in my kitchen was just water under the fridge.,fridge,bridge,0.461302229
64,pun,64,a,The robber baron was a commander in thief.,thief,chief,0.964814215
65,pun,65,a,The satellite went into orbit on January 1st causing a new year's revolution.,revolution,resolution,0.41699879
66,pun,66,a,The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling Plants'.,plants,Pants,0.984036377
67,pun,67,a,There was a dentist who was convicted of incisor trading.,incisor,insider,1.187487178
68,pun,68,a,They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal Mimes.',mimes,minds,1.225287607
69,pun,69,a,Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for glittering.,glittering,littering,1.593859677
70,pun,70,a,To become a pilot requires a good altitude.,altitude,attitude,1.348130271
71,pun,71,a,To some Christmas is about other people's presence.,presence,presents,0.317185433
72,pun,72,a,Vampires are always looking for their necks victim.,necks,next,1.370012196
73,pun,73,a,What does a villain call his silverware? Weapons of mass digestion.,digestion,destruction,1.104916044
74,pun,74,a,What would be the brand name of the highest quality copy paper money could buy? The ream of the crop!,ream,cream,1.34860201
75,pun,75,a,What you seize is what you get.,seize,see,0.272346059
76,pun,76,a,"When she made Mario Puzo's books required reading for her class, she made him an author they couldn't refuse.",author,offer,1.100908947
77,pun,77,a,"When the crop was destroyed, there was no more cranberry source.",source,sauce,-0.303356781
78,pun,78,a,When you use glue in class it paste to be careful.,paste,pays,0.66651661
79,pun,79,a,Why are Italians so good at making coffee? Because they really know how to espresso themselves.,espresso,express,1.23532919
80,pun,80,a,Women who wear $200.00 perfume obviously are known to have no common scents.,scents,sense,1.718025966
161,nonpun,1,a,The owner takes the lion's share of profits from the company.,lion,line,-0.455132909
162,nonpun,2,a,A dentist examines one tooth at a time.,tooth,truth,-0.453112403
163,nonpun,3,a,Cilia are hairlike projections on the surface of some cells.,cilia,sillier,-0.634945155
164,nonpun,4,a,Prince William is heir to the British throne.,heir,hair,-0.634945155
165,nonpun,5,a,Food and clothing are basic necessities.,clothing,closing,-0.634945155
166,nonpun,6,a,The ambiance in that hotel is one of warmth and charm.,ambiance,ambulance,-0.634945155
167,nonpun,7,a,Pigeons use the sunny sides of roofs as perches.,perches,purchase,-0.634945155
168,nonpun,8,a,"The mayor reworded his speech, because his advisors told him to do so.",reword,reward,-0.500085971
169,nonpun,9,a,I have a math exam today at school.,math,mass,-0.634945155
170,nonpun,10,a,He is a stealer of hearts.,stealer,steeler,-0.487410236
171,nonpun,11,a,That chair is made of wicker.,wicker,wicked,-0.621918001
172,nonpun,12,a,She has good spatial skills; she knows how to build a house from plans on paper.,spatial,special,-0.335896633
173,nonpun,13,a,Dancers whirled on the stage.,whirled,world,-0.717743052
174,nonpun,14,a,The owner behaves like a little Caesar with his employees.,caesars,scissors,0.102025091
175,nonpun,15,a,The space launch took place this morning.,launch,lunch,-0.612738008
176,nonpun,16,a,Our apple tree was in bloom last week. ,bloom,blue,-0.653553325
177,nonpun,17,a,His dog has fleas.,flea,free,-0.596721638
178,nonpun,18,a,The dentist replaced two fillings I had lost. ,fillings,feelings,-0.596018808
179,nonpun,19,a,The dog's salivation was all over the carpet.,salivation,salvation,-0.492134352
180,nonpun,20,a,The mouth is an orifice.,orifice,office,-0.541955049
181,nonpun,21,a,He reads braille with his fingertips.,braille,bail,-0.751547503
182,nonpun,22,a,He decided to donate his sperm.,sperm,spur,-0.357075948
183,nonpun,23,a,The city's buildings are covered with grime.,grime,crime,-0.751547503
184,nonpun,24,a,The end of the nuclear arms race began a new epoch of peace and cooperation.,epoch,pock,-0.295077909
185,nonpun,25,a,Our company pays everyone a bonus at the end of the year.,bonus,bones,-0.621799769
186,nonpun,26,a,My favorite creatures in Lord of the Rings are hobbits.,hobbit,habit,-0.488988076
187,nonpun,27,a,She started screaming when the man pulled out a knife.,screaming,screening,-0.751547503
188,nonpun,28,a,Ohms are used to measure electrical resistance.,ohms,Holmes,-0.751547503
189,nonpun,29,a,Kant was a German philosopher.,kant,can't,-0.554548857
190,nonpun,30,a,The barista used a tamper to press down the coffee.,tamper,temper,-0.651986328
191,nonpun,31,a,I like a latte in the morning to wake me up.,latte,late,-0.58161247
192,nonpun,32,a,The tabloid newspaper libeled a movie star.,libel,liable,-0.489955629
193,nonpun,33,a,The lovers go away to the country for weekend trysts.,tryst,twist,-0.311270199
194,nonpun,34,a,He burns propane gas in his stove.,propane,profane,-0.407310806
195,nonpun,35,a,He saw her leafing through the pages of an old book.,leafing,leaving,-0.37567882
196,nonpun,36,a,Some people eat yams with their turkey.,yams,Lambs,-0.503714687
197,nonpun,37,a,Tolkien wrote Lord of the Rings.,tolkien,talking,-0.701932653
198,nonpun,38,a,She is a coal and iron magnate from Australia.,magnate,magnet,-0.526643675
199,nonpun,39,a,A raven is a large black bird.,raven,raving,-0.622599591
200,nonpun,40,a,He tried out an alkaline diet to maintain the body's ideal pH balance.,alkaline,alcohol,0.143351114
201,nonpun,41,a,Your beard is growing too long; you need a shave.,shave,slave,-0.458483042
202,nonpun,42,a,Clay Aiken rose to fame after he won American Idol. ,aiken,aching,-0.455673986
203,nonpun,43,a,Irrigation is the artificial application of water to the land or soil,irrigation,irritation,-0.580332876
204,nonpun,44,a,My Auntie Betty is my mother's sister.,auntie,ante,-0.560055615
205,nonpun,45,a,Her favorite flower is the fuchsia.,fuchsia,future,-0.47656888
206,nonpun,46,a,Farmers till the soil in the springtime. ,till,tell,-0.549682962
207,nonpun,47,a,Our house is located on the corner.,house,how's,-0.550151007
208,nonpun,48,a,Eire is a former name for the Republic of Ireland.,eire,fire,-0.526878421
209,nonpun,49,a,An alp is a very high mountain.,alp,help,-0.479845982
210,nonpun,50,a,We have a small flower garden behind our house. ,garden,guarding,-0.488383134
211,nonpun,51,a,I like to eat lima beans and black beans.,bean,been,-0.642220625
212,nonpun,52,a,The odor of old fish filled the air.,odor,order,-0.535374078
213,nonpun,53,a,My desk lamp uses a 60-watt light bulb.,watt,lot,-0.642220625
214,nonpun,54,a,"Rats, mice, and flies are regarded as pests.",pest,best,-0.642220625
215,nonpun,55,a,He is often a crank in the morning.,crank,crack,-0.388943645
216,nonpun,56,a,Runners need strong legs.,leg,lag,-0.642220625
217,nonpun,57,a,A decade is a pretty long time.,decade,decay,-0.571363996
218,nonpun,58,a,He has written dramatic works for the stage. ,dramatic,traumatic,-0.642220625
219,nonpun,59,a,That sentence has an unusual grammatic structure.,grammatic,traumatic,-0.600723194
220,nonpun,60,a,The hosta is a beautiful plant.,hosta,hostile,-0.619461001
221,nonpun,61,a,Dublin is the capital of Ireland.,dublin,doubling,-0.539770603
222,nonpun,62,a,Prisms can be used to reflect and split light.,prism,prison,-0.572434308
223,nonpun,63,a,I put the milk and meat in the fridge.,fridge,bridge,-0.47229551
224,nonpun,64,a,A thief stole my luggage at the airport.,thief,chief,-0.572434308
225,nonpun,65,a,The Industrial Revolution changed how people worked and lived.,revolution,resolution,-0.539770603
226,nonpun,66,a,Humans and animals could not live without plants.,plants,Pants,-0.480440207
227,nonpun,67,a,Rats tore into the meat with their strong incisors.,incisor,insider,-0.539770603
228,nonpun,68,a,The mimes were very skilled at imitating people.,mimes,minds,-0.319622141
229,nonpun,69,a,Her jewels were glittering in the sun.,glittering,littering,-0.408094299
230,nonpun,70,a,"Our airplane is flying at an altitude of 35,000 feet.",altitude,attitude,-0.519903017
231,nonpun,71,a,The general has great presence.,presence,presents,-0.386211571
232,nonpun,72,a,She wore a scarf around her neck.,necks,next,-0.650416255
233,nonpun,73,a,She has good digestion; she can eat anything!,digestion,destruction,-0.160979291
234,nonpun,74,a,Our office uses 20 reams of paper each week.,ream,cream,-0.520712804
235,nonpun,75,a,I seized his arm so he couldn't run away.,seize,see,-0.429209543
236,nonpun,76,a,Cervantes is one of the most famous authors in the Spanish language.,author,offer,-0.597250523
237,nonpun,77,a,The source of our difficulties is not having enough money.,source,sauce,-0.379013088
238,nonpun,78,a,She used paste to put pictures in her notebook.,paste,pays,-0.538179324
239,nonpun,79,a,I like an espresso after dinner.,espresso,express,-0.468987105
240,nonpun,80,a,The scent of flowers relaxes me.,scents,sense,-0.585070265
241,nonpun,1,b,My notebook has thin blue lines printed on each page.,line,lion,-0.55706029
242,nonpun,2,b,She always speaks the truth.,truth,tooth,-0.458201266
243,nonpun,3,b,"When he drinks wine, he starts acting sillier.",sillier,cilia,-0.24786394
244,nonpun,4,b,I found a cat hair in my food.,hair,heir,-0.391644512
245,nonpun,5,b,The chairman made some closing remarks at the end of the meeting.,closing,clothing,-0.61098279
246,nonpun,6,b,An ambulance came to the car accident in two minutes.,ambulance,ambiance,-0.61098279
247,nonpun,7,b,She decided to purchase a new car.,purchase,perches,-0.580332876
248,nonpun,8,b,She gave herself a reward for working hard all year.,reward,reword,-0.427551352
249,nonpun,9,b,A mass of people were in the town square for the concert.,mass,math,-0.567432943
250,nonpun,10,b,A steeler is something that is covered in steel.,steeler,stealer,-0.510943876
251,nonpun,11,b,A wicked man took the child from his parents.,wicked,wicker,-0.642220625
252,nonpun,12,b,A birthday party is a special occasion.,special,spatial,-0.642220625
253,nonpun,13,b,It is possible to fly around the world in an airplane. ,world,whirled,-0.376506979
254,nonpun,14,b,Hairdressers use scissors to cut people's hair.,scissors,caesars,-0.642220625
255,nonpun,15,b,I had a sandwich for lunch.,lunch,launch,-0.642220625
256,nonpun,16,b,Blue and yellow make green.,blue,bloom,-0.642220625
257,nonpun,17,b,"After twenty years in prison, he was a free man.",free,flea,-0.642220625
258,nonpun,18,b,Her strong criticism hurt her daughter's feelings.,feelings,fillings,-0.642220625
259,nonpun,19,b,The minister prayed for the evil woman's salvation.,salvation,salivation,-0.500464502
260,nonpun,20,b,His office is in a skyscraper.,office,orifice,-0.642220625
261,nonpun,21,b,"He posted $5,000 bail for his brother's release from jail. ",bail,braille,-0.539770603
262,nonpun,22,b,The boss called his workers together on the spur of the moment. ,spur,sperm,-0.513013532
263,nonpun,23,b,"The police fight crime, murder, theft, and drug dealing.",crime,grime,-0.539770603
264,nonpun,24,b,Smallpox left him with many pock marks.,pock,epoch,-0.485898152
265,nonpun,25,b,Our bones give us our shape.,bones,bonus,-0.440066539
266,nonpun,26,b,Smoking is a bad habit.,habit,hobbit,-0.545677237
267,nonpun,27,b,They went to the movie screening together.,screening,screaming,-0.549354275
268,nonpun,28,b,I really like reading Sherlock Holmes books.,Holmes,ohms,-0.539770603
269,nonpun,29,b,I can't remember the last time that happened.,can't,kant,-0.50985438
270,nonpun,30,b,He has a bad temper and is easily angered.,temper,tamper,-0.572434308
271,nonpun,31,b,She was late for our meeting.,late,latte,-0.677004284
272,nonpun,32,b,Rental contracts state that tenants are liable for damages that they cause to the property.,liable,libel,-0.543644573
273,nonpun,33,b,I twisted two pieces of thread on a needle.,twist,tryst,-0.493975389
274,nonpun,34,b,That man uses profane language.,profane,propane,-0.490093843
275,nonpun,35,b,He is leaving work right now.,leaving,leafing,-0.677004284
276,nonpun,36,b,The family had roast leg of lamb for dinner.,Lambs,yams,-0.646571521
277,nonpun,37,b,I was talking to my friend the whole time.,talking,tolkien,-0.747109796
278,nonpun,38,b,I have a magnet on my desk that holds paper clips.,magnet,magnate,-0.614257778
279,nonpun,39,b,A raving mad man frightened those near him.,raving,raven,-0.533084754
280,nonpun,40,b,Alcohol burns easily.,alcohol,alkaline,-0.334899673
281,nonpun,41,b,The boss told us to work late on a holiday; he is a slave driver.,slave,shave,0.033051241
282,nonpun,42,b,My back is aching from too much sitting.,aching,aiken,-0.543446922
283,nonpun,43,b,He tried to hide his irritationbut it showed on his face.,irritation,irrigation,-0.634945155
284,nonpun,44,b,"We made an offer to buy a house, but the owner upped the ante.",ante,auntie,-0.634945155
285,nonpun,45,b,No one knows what will happen in the future.,future,fuchsia,-0.634945155
286,nonpun,46,b,She tells a story to her child each night.,tell,till,-0.634945155
287,nonpun,47,b,He asked her how's everything going.,how's,house,-0.634945155
288,nonpun,48,b,We sat around the fire to keep warm.,fire,eire,-0.634945155
289,nonpun,49,b,I gave my friend some help with her homework.,help,alp,-0.634945155
290,nonpun,50,b,The dog was just guarding his house; he didn't mean to scare you.,guarding,garden,-0.500085971
291,nonpun,51,b,It has been a long time since we saw each other.,been,bean,-0.685494465
292,nonpun,52,b,She arranged the newspapers in order by their dates.,order,odor,-0.649550694
293,nonpun,53,b,He decided to leave his car in the parking lot.,lot,watt,-0.750748892
294,nonpun,54,b,She is the best student in the class.,best,pest,-0.72882109
295,nonpun,55,b,That drinking glass has a crack in it.,crack,crank,-0.653930484
296,nonpun,56,b,"There was a lag in communications, so he did not hear the news until many days later.",lag,leg,-0.684813303
297,nonpun,57,b,Tooth decay can result from poor dental hygiene.,decay,decade,-0.750748892
298,nonpun,58,b,The car accident was a very traumatic experience for her.,traumatic,dramatic,-0.706741105
299,nonpun,59,b,That traumatic incident left her scarred.,traumatic,grammatic,-0.750748892
300,nonpun,60,b,That driver has a hostile attitude.,hostile,hosta,-0.641828981
301,nonpun,61,b,The amount that her business makes is always doubling every year.,doubling,dublin,-0.695790698
302,nonpun,62,b,He was sent to prison for robbing a bank.,prison,prism,-0.698777682
303,nonpun,63,b,Trains go across a bridge over the river.,bridge,fridge,-0.580792241
304,nonpun,64,b,The leader of a Native American tribe is known as the chief. ,chief,thief,-0.648852522
305,nonpun,65,b,Everyone admired his resolution when he quit smoking.,resolution,revolution,-0.538021462
306,nonpun,66,b,"Her legs were cold, so she put on a pair of pants.",Pants,plants,-0.489570828
307,nonpun,67,b,Insider trading can get you into a lot of trouble.,insider,incisor,-0.54732227
308,nonpun,68,b,Great minds think alike.,minds,mimes,-0.622809872
309,nonpun,69,b,She was caught littering and had to pay a fine.,littering,glittering,-0.72688386
310,nonpun,70,b,She has a good attitude toward work,attitude,altitude,-0.596126024
311,nonpun,71,b,He couldn't wait to open his Christmas presents.,presents,presence,-0.540453656
312,nonpun,72,b,"The next time that you're late, you'll be in trouble.",next,necks,-0.574679241
313,nonpun,73,b,A hurricane causes great destruction to buildings and trees.,destruction,digestion,-0.651031288
314,nonpun,74,b,Butter is made from cream.,cream,ream,-0.701932653
315,nonpun,75,b,He was able to see clearly after getting glasses.,see,seize,-0.318677436
316,nonpun,76,b,They are very considerate and always offer to give me a ride.,offer,author,-0.546247544
317,nonpun,77,b,I love to eat chocolate sauce on vanilla ice cream.,sauce,source,-0.595641885
318,nonpun,78,b,That company pays its employees every two weeks.,pays,paste,-0.625580606
319,nonpun,79,b,She should learn to express her feelings better.,express,espresso,-0.620421495
320,nonpun,80,b,He has a good sense for business.,sense,scents,-0.680768834
