workerID,age,gender,language,condition,uniquePairID,wordOrder,order,relatedness
A3AWC4P8QUK1XB,45,F,English,3,2,1,28,-0.448878973
A2CGULR0BMGYOR,25,F,English,3,2,1,58,-0.340566765
A278OVSY88TA04,35,F,english,3,2,1,6,0.920967033
A1F8OME6TTBIUC,25,M,English,3,2,1,21,1.105118033
A1LG0K8P05XI7N,17,M,ENGLISH,5,3,1,40,1.983289421
A3JZE4IVG5549Z,55,M,English,5,3,0,118,1.936104426
A2R0XTGWTGGPD9,25,F,English,5,3,0,82,2.07508968
A1NHUSRKTXRLIA,45,F,English,5,3,0,39,1.890142585
A3L2Q6Y5XJI12O,35,F,English,5,3,0,67,2.31750273
A32ZPYIWFEUCDX,55,M,California-english,5,3,0,107,2.329242351
A1VSHM4NLZ705D,35,M,English,5,3,1,114,2.81438477
A3OMUSG91MTI3H,25,F,English,5,3,0,107,2.17534685
A3U1MRDBBAJ77S,35,F,english,5,3,1,60,0.303134008
A24OCEP7RTN4ID,35,F,English,5,3,1,114,1.970521634
A17HKMNGZVXXGJ,25,M,English,5,3,0,34,1.445838763
A182CHO6N044YK,25,M,English,5,3,0,23,2.487967141
A25M0ER7TUBW36,25,M,English,5,3,0,23,-0.928528016
A1BNQ6H4SJZ2X5,35,M,english,5,3,1,28,1.705528337
A2UG5C6IKG16TB,25,F,English,5,3,0,84,1.405742758
A62XUQZNIVT64,25,F,English,5,3,0,2,1.389526662
A3BER0Q04BO9G5,25,M,English,5,3,0,104,2.030686694
A2PURY8517XFTG,35,M,English,5,3,0,67,1.863100284
A11JBM3BXJWRGW,35,F,english,5,3,0,124,1.971667635
A20QQNT56BLDPI,35,F,English,5,3,1,102,1.40804812
A153FVJRRM27G7,35,M,English,5,3,1,134,2.605410231
A14VY6QXKBLC0D,35,M,english,5,3,0,74,2.192144758
A230VUDYOCRZ4N,55,F,English,5,3,1,4,1.801311537
AKNGE4XEUT8SF,35,F,English,5,3,1,133,2.560665831
A364KJDYEBAWC9,45,M,English,7,4,0,4,-0.807259368
A2BIH4XUWQKM0W,35,F,English,7,4,1,38,-0.903605965
A13W5Y5FU0U951,45,F,english,7,4,1,131,-0.814724669
A26F9VP8ELLZC4,65,F,English,7,4,1,64,-0.524577545
A2HWFDN6X2R4AF,25,F,English,7,4,1,83,-0.761577311
AF59ZTU1GG340,45,M,English,7,4,1,46,-0.527214747
A3LFVI65XV1T46,35,F,English,7,4,0,118,-0.568835975
A14YP0FMOXN0NG,35,F,English,7,4,0,68,-0.708178379
A1DK836V92J78C,45,M,English,7,4,0,82,-0.751641846
A31I8A49OL6JT9,25,M,English,7,4,1,21,-0.931077809
A2MZBTRREF5UQ,55,F,English,7,4,1,127,-0.966538599
A1SZ0Q8S4H5J0I,65,F,English,7,4,0,4,-0.896575876
AE5VXD4USU2O9,25,F,English,7,4,0,32,-0.848530888
A1BI4T5MGR1OAH,25,M,English,7,4,0,79,0.310045215
A30X2CBXMF20BV,35,F,english,7,4,0,141,-0.821131746
AS1X0YS4CB34Y,45,F,english,9,5,0,58,1.109057061
A219VCQZADQ45W,65,F,english,9,5,1,136,1.34457533
A3AX4SGPEJU8DP,45,M,English,9,5,1,8,1.408489168
A3V2O47N222B9,35,F,english,9,5,1,114,1.005383618
A1KOHXO0BIQB8T,65,M,English,9,5,1,72,1.489307802
A26EUPY4QSD2OJ,45,F,English,9,5,1,100,1.694728677
A3NW7ZS2T2G2LA,35,M,english,9,5,0,123,2.274382585
A1R4F6EPXA3VCL,45,M,English,9,5,0,36,1.442503466
A2BWBKW40ISQ9G,65,F,English,9,5,1,145,2.586931327
A27KZ5MW3OT576,45,F,English,9,5,1,117,2.022874595
A310HXQSNP56Z1,25,F,English,9,5,1,61,1.542958709
A3VP27UUQ34OXK,55,F,English,9,5,0,44,2.025194522
A34BMGP23XTAMN,35,M,English,9,5,0,5,1.761052438
A3OR8K2NDDBAP0,25,F,english,9,5,1,29,1.936831556
A2ETKEXXYV4WBF,65,F,english,9,5,1,125,1.550368561
A3QVSJ3MJ7YOLY,45,M,English,9,5,1,36,1.586726286
A3OTB12FYSXN38,25,M,English,9,5,1,34,1.848846243
A3UOBK0737LJ2Q,35,F,English,9,5,1,127,2.758464295
A3MMLCBV2W3BP9,25,M,English,1,6,1,87,-0.614132707
A3N934I1DEVO86,25,F,English,1,6,1,120,-0.777245657
ACQB8FMHUZSY3,66,F,English,1,6,1,59,0.216150887
A1H8RYUHVWDCET,25,M,English,1,6,1,57,1.123719834
AHFAK8MV9Q4FW,35,F,english,1,6,0,128,0.867718406
AYIXPBMA2KH5V,25,M,english,1,6,1,90,-0.563697873
ALZOR99685SSS,35,F,english,1,6,1,77,-0.382216403
A2WR0XP4UXY4IY,35,M,english,1,6,1,59,1.350035686
A18WYFFG3VF0O1,35,F,english,1,6,0,108,-0.55958365
A3F8N2FOZYE9DG,25,F,English,1,6,0,32,-0.848564031
AY1QJ58OBT0RE,25,M,English,1,6,1,32,-0.747611103
A2NVJ6LBQVLHF1,35,M,english,1,6,1,99,-1.199210869
A3O1JZVX2L1BMK,25,F,English,1,6,0,121,-0.78642104
A15J1YSKM94GXB,45,F,english,1,6,0,3,0.615985945
A34N9G0IEI28IG,35,M,English,3,7,0,104,-0.493528273
A2BRYWJD6T00BE,45,F,English,3,7,0,41,-0.496286007
A3TSHG5R492EHU,35,M,English,3,7,1,60,-0.39667598
AUT9RW2VFXMDX,25,F,English,3,7,0,19,-0.521698107
A2SYRFPPV9WDEG,35,M,English,3,7,1,20,-0.11562575
A2EXMUJYR843HT,25,F,English,3,7,1,11,-0.738329507
AXYWBND4033L6,25,F,english,3,7,1,110,-0.570001981
A80X2FTFDSR19,35,F,English,3,7,0,10,-0.428095875
AB8PPBUBK4FA4,25,F,English,3,7,0,125,-0.711661628
A1AWNYS0X4DSGC,25,F,English,3,7,1,66,-0.827692347
A2QT68NJYAJV9P,45,F,English,3,7,1,96,0.355292063
A1T01T5PJUJKXG,17,M,English,3,7,1,75,0.472914522
A37B3260OPTYV2,35,M,English,3,7,0,95,-0.555101435
A3INS04P6H46JT,45,M,English,3,7,0,75,-0.890465039
A3FWVUR0IF6IWD,35,M,English,3,7,0,120,-0.930196855
A31JRBOBVU0RQX,25,F,english,3,7,0,41,-0.668183092
A38VIZX42CERKQ,25,M,English,3,7,1,88,-0.518677008
A21WHAE8CM3XRT,45,F,English,3,7,0,69,-0.695731656
ABIXKV6USOPKS,65,F,English,3,7,1,111,-0.846936439
A1ER4IXLVU27O,25,F,English,3,7,0,25,-0.654813335
A10C2MCVJK0C9F,25,M,English,3,7,0,91,-0.68050742
A80J1R9FQLUPS,25,M,English,3,7,0,45,1.272001388
A3AWC4P8QUK1XB,45,F,English,3,7,1,21,-0.448878973
A2CGULR0BMGYOR,25,F,English,3,7,1,109,-0.788519447
A278OVSY88TA04,35,F,english,3,7,1,142,-0.755606369
A1F8OME6TTBIUC,25,M,English,3,7,1,57,-0.017948553
A1LG0K8P05XI7N,17,M,ENGLISH,5,8,1,122,-0.644299104
A3JZE4IVG5549Z,55,M,English,5,8,1,38,-0.623661063
A2R0XTGWTGGPD9,25,F,English,5,8,1,126,1.005808174
A1NHUSRKTXRLIA,45,F,English,5,8,1,44,-0.667418281
A3L2Q6Y5XJI12O,35,F,English,5,8,1,49,-0.533006104
A32ZPYIWFEUCDX,55,M,California-english,5,8,1,95,-0.502047611
A1VSHM4NLZ705D,35,M,English,5,8,0,24,-0.539902384
A3OMUSG91MTI3H,25,F,English,5,8,0,25,-0.640261661
A3U1MRDBBAJ77S,35,F,english,5,8,1,16,-0.750617544
A24OCEP7RTN4ID,35,F,English,5,8,1,11,-0.361362123
A17HKMNGZVXXGJ,25,M,English,5,8,0,134,-0.838711664
A182CHO6N044YK,25,M,English,5,8,1,130,-0.853297535
A25M0ER7TUBW36,25,M,English,5,8,0,67,0.506023204
A1BNQ6H4SJZ2X5,35,M,english,5,8,0,67,-0.392257149
A2UG5C6IKG16TB,25,F,English,5,8,0,9,-0.90030716
A62XUQZNIVT64,25,F,English,5,8,1,18,-0.547848848
A3BER0Q04BO9G5,25,M,English,5,8,1,80,-0.429730379
A2PURY8517XFTG,35,M,English,5,8,1,26,-0.594105149
A11JBM3BXJWRGW,35,F,english,5,8,0,115,-0.650570495
A20QQNT56BLDPI,35,F,English,5,8,1,47,-0.254283623
A153FVJRRM27G7,35,M,English,5,8,0,138,-0.606136714
A14VY6QXKBLC0D,35,M,english,5,8,0,96,-0.627706649
A230VUDYOCRZ4N,55,F,English,5,8,0,21,-0.749527303
AKNGE4XEUT8SF,35,F,English,5,8,1,23,-0.406454894
A364KJDYEBAWC9,45,M,English,7,9,1,39,1.005969367
A2BIH4XUWQKM0W,35,F,English,7,9,0,137,0.234918056
A13W5Y5FU0U951,45,F,english,7,9,1,25,0.516802962
A26F9VP8ELLZC4,65,F,English,7,9,0,59,0.807393265
A2HWFDN6X2R4AF,25,F,English,7,9,0,133,1.523154621
AF59ZTU1GG340,45,M,English,7,9,1,48,-0.527214747
A3LFVI65XV1T46,35,F,English,7,9,0,113,1.092165071
A14YP0FMOXN0NG,35,F,English,7,9,1,55,1.16038867
A1DK836V92J78C,45,M,English,7,9,1,120,1.027921011
A31I8A49OL6JT9,25,M,English,7,9,1,78,1.353583706
A2MZBTRREF5UQ,55,F,English,7,9,0,38,1.436873683
A1SZ0Q8S4H5J0I,65,F,English,7,9,0,131,1.518554712
AE5VXD4USU2O9,25,F,English,7,9,1,86,0.711178765
A1BI4T5MGR1OAH,25,M,English,7,9,0,39,0.310045215
A30X2CBXMF20BV,35,F,english,7,9,1,53,1.541138893
AS1X0YS4CB34Y,45,F,english,9,10,0,36,1.109057061
A219VCQZADQ45W,65,F,english,9,10,0,118,0.738686447
A3AX4SGPEJU8DP,45,M,English,9,10,0,70,0.322365479
A3V2O47N222B9,35,F,english,9,10,1,101,1.005383618
A1KOHXO0BIQB8T,65,M,English,9,10,1,70,1.236471826
A26EUPY4QSD2OJ,45,F,English,9,10,1,38,0.723937556
A3NW7ZS2T2G2LA,35,M,english,9,10,1,77,-0.451888822
A1R4F6EPXA3VCL,45,M,English,9,10,1,89,2.111092374
A2BWBKW40ISQ9G,65,F,English,9,10,0,36,1.413974887
A27KZ5MW3OT576,45,F,English,9,10,0,56,1.695374384
A310HXQSNP56Z1,25,F,English,9,10,1,6,1.542958709
A3VP27UUQ34OXK,55,F,English,9,10,1,101,2.025194522
A34BMGP23XTAMN,35,M,English,9,10,0,72,1.496804076
A3OR8K2NDDBAP0,25,F,english,9,10,1,127,1.135762414
A2ETKEXXYV4WBF,65,F,english,9,10,0,43,1.550368561
A3QVSJ3MJ7YOLY,45,M,English,9,10,0,76,0.842629805
A3OTB12FYSXN38,25,M,English,9,10,0,29,1.597279093
A3UOBK0737LJ2Q,35,F,English,9,10,0,31,2.35001015
A3MMLCBV2W3BP9,25,M,English,1,11,0,91,-0.614132707
A3N934I1DEVO86,25,F,English,1,11,1,121,-0.777245657
ACQB8FMHUZSY3,66,F,English,1,11,0,136,0.216150887
A1H8RYUHVWDCET,25,M,English,1,11,0,95,0.58046455
AHFAK8MV9Q4FW,35,F,english,1,11,1,130,0.046853046
AYIXPBMA2KH5V,25,M,english,1,11,1,30,-1.065526466
ALZOR99685SSS,35,F,english,1,11,0,4,2.696602621
A2WR0XP4UXY4IY,35,M,english,1,11,0,126,0.685262633
A18WYFFG3VF0O1,35,F,english,1,11,1,107,-0.55958365
A3F8N2FOZYE9DG,25,F,English,1,11,1,127,-0.022628374
AY1QJ58OBT0RE,25,M,English,1,11,1,76,-1.018457805
A2NVJ6LBQVLHF1,35,M,english,1,11,0,4,0.88761615
A3O1JZVX2L1BMK,25,F,English,1,11,0,102,-0.78642104
A15J1YSKM94GXB,45,F,english,1,11,1,39,-0.567355476
A34N9G0IEI28IG,35,M,English,3,12,1,41,-0.493528273
A2BRYWJD6T00BE,45,F,English,3,12,1,54,1.841060993
A3TSHG5R492EHU,35,M,English,3,12,0,31,1.347742488
AUT9RW2VFXMDX,25,F,English,3,12,1,83,-0.521698107
A2SYRFPPV9WDEG,35,M,English,3,12,0,129,0.456623723
A2EXMUJYR843HT,25,F,English,3,12,0,32,1.226703712
AXYWBND4033L6,25,F,english,3,12,0,141,1.64078369
A80X2FTFDSR19,35,F,English,3,12,0,17,1.276504064
AB8PPBUBK4FA4,25,F,English,3,12,1,10,1.51502142
A1AWNYS0X4DSGC,25,F,English,3,12,0,131,1.565239984
A2QT68NJYAJV9P,45,F,English,3,12,0,82,1.428519121
A1T01T5PJUJKXG,17,M,English,3,12,1,23,1.535153294
A37B3260OPTYV2,35,M,English,3,12,0,109,2.42448715
A3INS04P6H46JT,45,M,English,3,12,0,111,0.9363438
A3FWVUR0IF6IWD,35,M,English,3,12,0,49,1.26913498
A31JRBOBVU0RQX,25,F,english,3,12,1,37,-0.668183092
A38VIZX42CERKQ,25,M,English,3,12,0,64,-0.518677008
A21WHAE8CM3XRT,45,F,English,3,12,0,71,-0.996254797
ABIXKV6USOPKS,65,F,English,3,12,1,130,0.772968191
A1ER4IXLVU27O,25,F,English,3,12,1,36,-0.654813335
A10C2MCVJK0C9F,25,M,English,3,12,1,144,1.230148028
A80J1R9FQLUPS,25,M,English,3,12,1,44,1.272001388
A3AWC4P8QUK1XB,45,F,English,3,12,1,66,1.620689346
A2CGULR0BMGYOR,25,F,English,3,12,0,130,-0.788519447
A278OVSY88TA04,35,F,english,3,12,1,57,1.926911074
A1F8OME6TTBIUC,25,M,English,3,12,1,32,-0.76665961
A1LG0K8P05XI7N,17,M,ENGLISH,5,13,0,86,0.932254011
A3JZE4IVG5549Z,55,M,English,5,13,0,30,0.473381289
A2R0XTGWTGGPD9,25,F,English,5,13,0,102,1.005808174
A1NHUSRKTXRLIA,45,F,English,5,13,1,36,1.890142585
A3L2Q6Y5XJI12O,35,F,English,5,13,0,86,2.31750273
A32ZPYIWFEUCDX,55,M,California-english,5,13,1,129,-0.187459838
A1VSHM4NLZ705D,35,M,English,5,13,1,127,1.137241193
A3OMUSG91MTI3H,25,F,English,5,13,0,66,1.893785999
A3U1MRDBBAJ77S,35,F,english,5,13,0,84,1.005635044
A24OCEP7RTN4ID,35,F,English,5,13,0,27,1.096065225
A17HKMNGZVXXGJ,25,M,English,5,13,0,15,1.217383721
A182CHO6N044YK,25,M,English,5,13,0,138,1.533320091
A25M0ER7TUBW36,25,M,English,5,13,1,33,0.864661009
A1BNQ6H4SJZ2X5,35,M,english,5,13,1,92,1.705528337
A2UG5C6IKG16TB,25,F,English,5,13,0,64,1.405742758
A62XUQZNIVT64,25,F,English,5,13,0,70,1.666294592
A3BER0Q04BO9G5,25,M,English,5,13,1,45,2.030686694
A2PURY8517XFTG,35,M,English,5,13,1,112,1.863100284
A11JBM3BXJWRGW,35,F,english,5,13,0,112,1.38894805
A20QQNT56BLDPI,35,F,English,5,13,0,133,1.40804812
A153FVJRRM27G7,35,M,English,5,13,1,33,1.178056033
A14VY6QXKBLC0D,35,M,english,5,13,1,133,1.064204195
A230VUDYOCRZ4N,55,F,English,5,13,1,136,1.801311537
AKNGE4XEUT8SF,35,F,English,5,13,0,140,1.57162559
A364KJDYEBAWC9,45,M,English,7,14,1,12,1.265002043
A2BIH4XUWQKM0W,35,F,English,7,14,0,17,1.088811071
A13W5Y5FU0U951,45,F,english,7,14,1,78,0.516802962
A26F9VP8ELLZC4,65,F,English,7,14,1,119,0.14140786
A2HWFDN6X2R4AF,25,F,English,7,14,0,146,1.523154621
AF59ZTU1GG340,45,M,English,7,14,1,69,-0.527214747
A3LFVI65XV1T46,35,F,English,7,14,1,132,-0.568835975
A14YP0FMOXN0NG,35,F,English,7,14,0,129,-0.708178379
A1DK836V92J78C,45,M,English,7,14,0,104,0.434733392
A31I8A49OL6JT9,25,M,English,7,14,0,40,0.972806787
A2MZBTRREF5UQ,55,F,English,7,14,0,69,1.093529072
A1SZ0Q8S4H5J0I,65,F,English,7,14,0,65,1.518554712
AE5VXD4USU2O9,25,F,English,7,14,0,130,1.37962576
A1BI4T5MGR1OAH,25,M,English,7,14,0,75,0.669875114
A30X2CBXMF20BV,35,F,english,7,14,0,48,0.950571233
A2AXGNA291U5BF,55,F,English,2,15,0,41,-0.981304233
A1RL184S4UH6T3,25,M,English,2,15,1,51,-1.069320131
AA8MK8AWWWL62,35,F,English,2,15,0,2,1.782189023
A37F78BTO4NUHR,25,F,english,2,15,1,56,-1.92422269
A221BYJVSHSS6C,65,M,english,2,15,0,126,-0.54363911
A3IE6ATDKX6N1H,65,F,English,2,15,0,5,1.320237328
A320QA9HJFUOZO,35,M,English,2,15,0,17,-0.747316811
A193X2C7UXL9G,45,F,English,2,15,0,123,1.031495952
A2N1TVKBVKCTYB,65,F,English,2,15,0,13,0.30195148
A1Q0HR275GW2X4,35,M,english,2,15,1,124,0.469402638
A1BXNBGMELWSO0,35,F,English,2,15,0,137,-0.784580167
A1GT46Z151YRQR,45,F,English,2,15,1,28,1.817633696
A1L9WURXFXBVX6,35,F,English,2,15,0,87,1.432791685
A3434T8NYAQEOK,25,F,English,2,15,1,107,-0.696115314
A1QQBMKOZNN952,45,M,English,2,15,1,77,-0.835804303
A2YD6495T4UGMW,35,F,English,2,15,1,128,-1.220096008
AVVZTRF9H0XHH,35,M,English,2,15,0,113,0.377434281
A3HOZA7QXYKN5Y,35,M,English,2,15,0,127,-0.255760959
A3RB9WPEC9YL2P,55,F,English,2,15,1,113,-0.967789398
A321PI4SDQPME7,45,F,english,2,15,1,120,0.376037412
APJHALT9QA3VD,35,F,English,2,15,0,127,0.569642316
A7LWELY5ZOHP1,35,F,English,2,15,1,37,1.514590512
ARIHFTO35AJ1N,35,F,English,4,16,0,110,1.430119247
AYSOFR7I00R5I,45,M,English,4,16,1,140,1.6215053
A2Q9IGBGDU9RM9,35,M,English,4,16,1,73,1.83990983
A1AS0LTDHF6E7W,35,F,English,4,16,0,10,0.869078372
A3AT9S1CF9QV4K,66,M,English,4,16,1,115,1.700891327
AEBBDG3D1WD91,25,M,english,4,16,0,106,1.680857473
A2YELE4764XAIA,65,F,english,4,16,1,114,1.609151689
A2NIBBJ5T79V6T,25,M,English,4,16,0,130,1.296844959
A1PVDA09VSYWHP,35,M,English,4,16,1,79,1.646362155
A1FYSXD0MJXPMG,35,F,English,4,16,0,124,1.605613187
A3PHLJCFOXAH2X,35,F,english,4,16,0,39,2.5887043
AOP6PU418XX1A,25,F,English,4,16,1,58,1.325738227
A2B3YHRCG8QT00,65,M,english,4,16,0,85,1.515712871
A35NBUVLJDU499,25,M,English,4,16,0,8,0.820734251
A34ZUVAQXSJNO1,65,M,english,4,16,0,93,2.316016822
A2ZXTX5FE5MJ4,35,M,english,4,16,1,62,1.550575768
A1G05O3HM7DNVZ,45,F,English,6,17,1,33,-0.311180817
A3E08GRFJJAT2S,45,M,english,6,17,0,62,-0.87664502
A37AMANTOKWVWA,25,F,English,6,17,0,108,-0.705399959
A2XS49LRNX8PD4,25,M,English,6,17,1,13,-0.913650933
A34FJBQDKVH8SR,45,M,English,6,17,0,103,-0.92070071
A0466477O4HT7G4BVNB1,35,F,english,6,17,0,8,-0.838098473
A9AYICE1E4D87,25,M,English,6,17,1,26,-1.000438547
A1GTYHV8OYQQLV,65,M,English,6,17,0,146,-1.168894325
A1ENGJN5E7YGJH,25,F,English,6,17,0,93,-1.417599116
A1YXJT86BD8SQ1,35,M,English,6,17,0,22,-1.008227926
A8VAYDSZ6Z6K4,45,F,English,6,17,1,119,-0.324481051
A1EJ95I5W5S8FK,45,F,English,6,17,1,87,-0.560836205
A1B88B83YEB3NS,55,M,English,6,17,0,47,-0.204627696
A7QCN03GSBCXK,25,F,English,6,17,1,50,-0.664810879
A22WQYLSO9NVNK,35,F,english,6,17,1,37,-0.752880425
A3FE86YDPDLPKW,25,M,English,6,17,0,61,0.586548982
A2DO7VV674LFV4,45,F,english,6,17,0,118,-0.680603886
A3GND4YUBDIQ02,35,M,English,6,17,0,43,0.28154873
A3JBBMFGHNT3MF,17,F,English,6,17,1,51,-0.682252037
A2S7RN7GRV6WF3,45,F,English,6,17,0,18,-0.822868141
A2YR5M2I1YCH75,35,F,English,6,17,1,106,-0.693772597
A178NUZZNIV7MT,25,F,English,8,18,0,33,1.060573666
A3VIE5O4Q96JWY,25,F,english,8,18,0,67,1.212967095
A2018YQ1FNL376,35,F,english,8,18,0,40,1.433232435
A23P8YY5I9P6EU,25,F,English,8,18,0,103,-0.767770787
A1XVL8WLYYT5PI,45,F,english,8,18,1,92,2.428306204
A1XUE712KVMVXM,35,F,english,8,18,0,102,-0.488898645
A3JWO6UN75OWW9,35,M,English,8,18,1,31,-0.793118963
AT4V7NOIHS9G5,45,F,English,8,18,0,29,1.062362393
A1B0DLBEQ0QP52,45,M,english,8,18,1,55,1.204885085
A39QIVR044A1KN,25,F,english,8,18,0,61,-0.373713547
A2IXM1L3T6YYY2,35,F,english,8,18,0,88,0.951849936
A34RMF77M4N9VB,35,F,English,8,18,1,27,0.86125457
A2RMOCDLA2JSO5,35,M,english,8,18,0,50,2.016517549
A226R93NCWLJCD,35,F,English,8,18,1,62,1.945555735
AUO0OQZRXW2Q9,55,F,english,8,18,1,140,1.451834656
AB2KBX2EHXJZZ,65,F,english,8,18,0,27,1.741088894
A1YVNBAT97VRV9,25,F,English,8,18,1,85,-0.596942085
AUHQYXKNYIW9W,25,F,English,8,18,1,37,0.73398695
A1M7CIYMVD2GS0,35,F,english,8,18,1,112,0.68241876
ANCT3DDB03V5W,17,F,English,8,18,0,4,2.046585671
A34ZHROFSVEF6V,45,M,English,8,18,1,71,1.940192526
A3ICNBAMTYTXPM,25,F,English,10,19,0,61,-0.759018964
ANNRSEIK4HRT8,55,M,english,10,19,1,41,-0.801867202
A370MPTHYDCDKX,35,F,english,10,19,1,96,-0.850411029
A1T3PV7AOCE7I8,35,M,English,10,19,0,117,-0.273050901
A2J48NMAXFET0T,25,F,english,10,19,0,43,-0.762786909
A3VGEX0JSA7Q1B,25,F,English,10,19,0,18,2.140776053
A19IS9P2M70O73,35,M,English,10,19,1,87,-0.928967943
A3LBOMS2TFFPRT,45,F,English,10,19,0,143,-0.51919051
A2NZGZBR9TJ7CZ,25,M,english,10,19,1,12,0.321932608
APFBMXQXRPKIS,25,F,english,10,19,0,120,0.28741163
A3L9437EC5JYC6,35,F,English,10,19,0,13,-0.862870906
AAUKM05NJKNTX,25,F,English ,10,19,1,102,-0.44659232
A3PMO2XASQTF2P,35,M,English,10,19,1,112,-0.471776977
A24TUJGQCYOPSD,35,M,English,10,19,1,78,-1.182245786
A274623RTWHKQ8,65,F,English,10,19,0,34,-0.335925823
A3O4QJBU7A91A6,35,M,English,10,19,0,56,0.553700098
A33SMNMTMIOJ6T,25,M,English,10,19,1,50,-1.044860356
A2AXGNA291U5BF,55,F,English,2,20,1,113,1.5455109
A1RL184S4UH6T3,25,M,English,2,20,0,145,0.665354748
AA8MK8AWWWL62,35,F,English,2,20,0,120,1.028715285
A37F78BTO4NUHR,25,F,english,2,20,0,107,0.949808131
A221BYJVSHSS6C,65,M,english,2,20,1,121,0.160839973
A3IE6ATDKX6N1H,65,F,English,2,20,1,48,0.416699907
A320QA9HJFUOZO,35,M,English,2,20,1,67,0.403209598
A193X2C7UXL9G,45,F,English,2,20,1,24,1.536859741
A2N1TVKBVKCTYB,65,F,English,2,20,0,89,2.042145534
A1Q0HR275GW2X4,35,M,english,2,20,1,82,0.219282984
A1BXNBGMELWSO0,35,F,English,2,20,1,70,1.307633611
A1GT46Z151YRQR,45,F,English,2,20,1,135,-0.562406839
A1L9WURXFXBVX6,35,F,English,2,20,1,86,0.702218044
A3434T8NYAQEOK,25,F,English,2,20,1,122,-0.696115314
A1QQBMKOZNN952,45,M,English,2,20,1,119,0.045896768
A2YD6495T4UGMW,35,F,English,2,20,0,142,0.94238068
AVVZTRF9H0XHH,35,M,English,2,20,0,57,0.92848833
A3HOZA7QXYKN5Y,35,M,English,2,20,1,70,0.911148418
A3RB9WPEC9YL2P,55,F,English,2,20,1,17,0.824023582
A321PI4SDQPME7,45,F,english,2,20,0,83,-0.894829768
APJHALT9QA3VD,35,F,English,2,20,1,89,1.930817082
A7LWELY5ZOHP1,35,F,English,2,20,1,64,0.406168383
ARIHFTO35AJ1N,35,F,English,4,21,0,98,0.265280139
AYSOFR7I00R5I,45,M,English,4,21,0,78,0.905197361
A2Q9IGBGDU9RM9,35,M,English,4,21,1,27,-0.048029775
A1AS0LTDHF6E7W,35,F,English,4,21,1,50,0.869078372
A3AT9S1CF9QV4K,66,M,English,4,21,1,113,-0.802436634
AEBBDG3D1WD91,25,M,english,4,21,1,33,1.680857473
A2YELE4764XAIA,65,F,english,4,21,0,38,0.885529061
A2NIBBJ5T79V6T,25,M,English,4,21,1,98,0.329594057
A1PVDA09VSYWHP,35,M,English,4,21,1,37,-0.707311036
A1FYSXD0MJXPMG,35,F,English,4,21,0,84,1.605613187
A3PHLJCFOXAH2X,35,F,english,4,21,1,22,1.031214625
AOP6PU418XX1A,25,F,English,4,21,1,127,-0.579893936
A2B3YHRCG8QT00,65,M,english,4,21,1,45,1.211319365
A35NBUVLJDU499,25,M,English,4,21,1,136,1.433661109
